@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F4

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
7.7,2.6,6.9,2.3,Iris-virginica
5.1,3.3,1.7,0.5,Iris-setosa
7.3,2.9,6.3,1.8,Iris-virginica
6.7,3.1,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
5.7,3.8,1.7,0.3,Iris-setosa
6.1,3,4.9,1.8,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
6.1,3,4.6,1.4,Iris-versicolor
5,3,1.6,0.2,Iris-setosa
5.5,2.3,4,1.3,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
5.7,2.8,4.1,1.3,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica
5.6,2.8,4.9,2,Iris-virginica
