@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F1

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
6.7,3.1,5.6,2.4,Iris-virginica
6.7,3,5.2,2.3,Iris-virginica
5.6,2.9,3.6,1.3,Iris-versicolor
4.6,3.1,1.5,0.2,Iris-setosa
5.9,3.2,4.8,1.8,Iris-versicolor
7.6,3,6.6,2.1,Iris-virginica
5.5,2.4,3.7,1,Iris-versicolor
6.4,2.8,5.6,2.2,Iris-virginica
5.4,3.9,1.7,0.4,Iris-setosa
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3,5,1.7,Iris-versicolor
5.5,3.5,1.3,0.2,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
6.2,2.8,4.8,1.8,Iris-virginica
4.9,3,1.4,0.2,Iris-setosa
