%
%some transfusion data. Pick source later
%

@relation transfusion
@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute 'whether he/she donated blood in March 2007' {TRUE,FALSE}
@data
2,50,12500,98,TRUE
0,13,3250,28,TRUE
1,16,4000,35,TRUE
2,20,5000,45,TRUE
1,24,6000,77,FALSE
4,4,1000,4,FALSE
2,7,1750,14,TRUE
1,12,3000,35,FALSE
2,9,2250,22,TRUE
5,46,11500,98,TRUE
4,23,5750,58,FALSE
0,3,750,4,FALSE
2,10,2500,28,TRUE
1,13,3250,47,FALSE
2,6,1500,15,TRUE
2,5,1250,11,TRUE
2,14,3500,48,TRUE
2,15,3750,49,TRUE
2,6,1500,15,TRUE
2,3,750,4,TRUE
2,3,750,4,TRUE
4,11,2750,28,FALSE
2,6,1500,16,TRUE
2,6,1500,16,TRUE
9,9,2250,16,FALSE
4,14,3500,40,FALSE
4,6,1500,14,FALSE
4,12,3000,34,TRUE
4,5,1250,11,TRUE
4,8,2000,21,FALSE
1,14,3500,58,FALSE
4,10,2500,28,TRUE
4,10,2500,28,TRUE
4,9,2250,26,TRUE
2,16,4000,64,FALSE
2,8,2000,28,TRUE
2,12,3000,47,TRUE
4,6,1500,16,TRUE
2,14,3500,57,TRUE
4,7,1750,22,TRUE
2,13,3250,53,TRUE
2,5,1250,16,FALSE
2,5,1250,16,TRUE
2,5,1250,16,FALSE
4,20,5000,69,TRUE
4,9,2250,28,TRUE
2,9,2250,36,FALSE
2,2,500,2,FALSE
2,2,500,2,FALSE
2,2,500,2,FALSE
2,11,2750,46,FALSE
2,11,2750,46,TRUE
2,6,1500,22,FALSE
2,12,3000,52,FALSE
4,5,1250,14,TRUE
4,19,4750,69,TRUE
4,8,2000,26,TRUE
2,7,1750,28,TRUE
2,16,4000,81,FALSE
3,6,1500,21,FALSE
2,7,1750,29,FALSE
2,8,2000,35,TRUE
2,10,2500,49,FALSE
4,5,1250,16,TRUE
2,3,750,9,TRUE
3,16,4000,74,FALSE
2,4,1000,14,TRUE
0,2,500,4,FALSE
4,7,1750,25,FALSE
1,9,2250,51,FALSE
2,4,1000,16,FALSE
2,4,1000,16,FALSE
4,17,4250,71,TRUE
2,2,500,4,FALSE
2,2,500,4,TRUE
2,2,500,4,TRUE
2,4,1000,16,TRUE
2,2,500,4,FALSE
2,2,500,4,FALSE
2,2,500,4,FALSE
4,6,1500,23,TRUE
2,4,1000,16,FALSE
2,4,1000,16,FALSE
2,4,1000,16,FALSE
2,6,1500,28,TRUE
2,6,1500,28,FALSE
4,2,500,4,FALSE
4,2,500,4,FALSE
4,2,500,4,FALSE
2,7,1750,35,TRUE
4,2,500,4,TRUE
4,2,500,4,FALSE
4,2,500,4,FALSE
4,2,500,4,FALSE
12,11,2750,23,FALSE
4,7,1750,28,FALSE
3,17,4250,86,FALSE
4,9,2250,38,TRUE
4,4,1000,14,TRUE
5,7,1750,26,TRUE
4,8,2000,34,TRUE
2,13,3250,76,TRUE
4,9,2250,40,FALSE
2,5,1250,26,FALSE
2,5,1250,26,FALSE
6,17,4250,70,FALSE
0,8,2000,59,FALSE
3,5,1250,26,FALSE
2,3,750,14,FALSE
2,10,2500,64,FALSE
4,5,1250,23,TRUE
4,9,2250,46,FALSE
4,5,1250,23,FALSE
4,8,2000,40,TRUE
2,12,3000,82,FALSE
11,24,6000,64,FALSE
2,7,1750,46,TRUE
4,11,2750,61,FALSE
1,7,1750,57,FALSE
2,11,2750,79,TRUE
2,3,750,16,TRUE
4,5,1250,26,TRUE
2,6,1500,41,TRUE
2,5,1250,33,TRUE
2,4,1000,26,FALSE
2,5,1250,34,FALSE
4,8,2000,46,TRUE
2,4,1000,26,FALSE
4,8,2000,48,TRUE
2,2,500,10,TRUE
4,5,1250,28,FALSE
2,12,3000,95,FALSE
2,2,500,10,FALSE
4,6,1500,35,FALSE
2,11,2750,88,FALSE
2,3,750,19,FALSE
2,5,1250,37,FALSE
2,12,3000,98,FALSE
9,5,1250,19,FALSE
2,2,500,11,FALSE
2,9,2250,74,FALSE
5,14,3500,86,FALSE
4,3,750,16,FALSE
4,3,750,16,FALSE
4,2,500,9,TRUE
4,3,750,16,TRUE
6,3,750,14,FALSE
2,2,500,11,FALSE
2,2,500,11,TRUE
2,2,500,11,FALSE
2,7,1750,58,TRUE
4,6,1500,39,FALSE
4,11,2750,78,FALSE
2,1,250,2,TRUE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,TRUE
2,1,250,2,TRUE
2,1,250,2,TRUE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
11,10,2500,35,FALSE
11,4,1000,16,TRUE
4,5,1250,33,TRUE
4,6,1500,41,TRUE
2,3,750,22,FALSE
4,4,1000,26,TRUE
10,4,1000,16,FALSE
2,4,1000,35,FALSE
4,12,3000,88,FALSE
13,8,2000,26,FALSE
11,9,2250,33,FALSE
4,5,1250,34,FALSE
4,4,1000,26,FALSE
8,15,3750,77,FALSE
4,5,1250,35,TRUE
4,7,1750,52,FALSE
4,7,1750,52,FALSE
